onet_code,occupation,human_beta,job_zone,employment_2024,employment_growth_pct,openings_annual,gpt_percentile,gpt_high,openings_rank,growth_rank,labor_market_score,valid_routes,good_transitions,transition_score,usable_for_model,target_label,ability_Arm-Hand Steadiness,ability_Auditory Attention,ability_Category Flexibility,ability_Control Precision,ability_Deductive Reasoning,ability_Depth Perception,ability_Dynamic Flexibility,ability_Dynamic Strength,ability_Explosive Strength,ability_Extent Flexibility,ability_Far Vision,ability_Finger Dexterity,ability_Flexibility of Closure,ability_Fluency of Ideas,ability_Glare Sensitivity,ability_Gross Body Coordination,ability_Gross Body Equilibrium,ability_Hearing Sensitivity,ability_Inductive Reasoning,ability_Information Ordering,ability_Manual Dexterity,ability_Mathematical Reasoning,ability_Memorization,ability_Multilimb Coordination,ability_Near Vision,ability_Night Vision,ability_Number Facility,ability_Oral Comprehension,ability_Oral Expression,ability_Originality,ability_Perceptual Speed,ability_Peripheral Vision,ability_Problem Sensitivity,ability_Rate Control,ability_Reaction Time,ability_Response Orientation,ability_Selective Attention,ability_Sound Localization,ability_Spatial Orientation,ability_Speech Clarity,ability_Speech Recognition,ability_Speed of Closure,ability_Speed of Limb Movement,ability_Stamina,ability_Static Strength,ability_Time Sharing,ability_Trunk Strength,ability_Visual Color Discrimination,ability_Visualization,ability_Wrist-Finger Speed,ability_Written Comprehension,ability_Written Expression,style_Achievement Orientation,style_Adaptability,style_Attention to Detail,style_Cautiousness,style_Cooperation,style_Dependability,style_Empathy,style_Humility,style_Initiative,style_Innovation,style_Integrity,style_Intellectual Curiosity,style_Leadership Orientation,style_Optimism,style_Perseverance,style_Self-Confidence,style_Self-Control,style_Sincerity,style_Social Orientation,style_Stress Tolerance,style_Tolerance for Ambiguity,context_Contact With Others,context_Face-to-Face Discussions with Individuals and Within Teams,context_Freedom to Make Decisions,context_Importance of Being Exact or Accurate,context_Physical Proximity,context_Spend Time Making Repetitive Motions,context_Time Pressure,transferable_Complex Problem Solving,transferable_Coordination,transferable_Equipment Maintenance,transferable_Equipment Selection,transferable_Installation,transferable_Instructing,transferable_Judgment and Decision Making,transferable_Management of Financial Resources,transferable_Management of Material Resources,transferable_Management of Personnel Resources,transferable_Negotiation,transferable_Operation and Control,transferable_Operations Analysis,transferable_Operations Monitoring,transferable_Persuasion,transferable_Programming,transferable_Quality Control Analysis,transferable_Repairing,transferable_Service Orientation,transferable_Social Perceptiveness,transferable_Systems Analysis,transferable_Systems Evaluation,transferable_Technology Design,transferable_Time Management,transferable_Troubleshooting
11-1011.00,Chief Executives,0.35,5,309.4,4.3,22.2,56.229685807150595,False,0.7648970747562297,0.6619718309859155,0.7134344528710725,5,0,0.0,True,Nicht hoch GPT-exponiert,0.5,2.0,4.0,0.75,4.75,1.38,0.0,0.25,0.0,0.0,3.25,1.0,3.62,4.62,0.25,0.0,0.0,2.0,4.88,4.12,0.0,3.75,3.12,0.75,4.5,0.25,3.75,4.88,4.88,4.25,3.0,0.25,4.88,0.38,0.38,0.38,3.12,0.38,0.5,4.75,4.5,3.12,0.0,0.0,0.0,2.88,0.62,2.0,3.38,0.5,4.88,4.75,2.91,2.69,1.44,1.03,1.53,2.93,1.07,-0.27,2.5,2.3,2.93,2.16,3.0,1.6,2.46,2.69,2.42,0.96,2.26,2.55,2.05,4.58,4.9,4.95,4.47,2.67,2.55,4.16,4.88,4.88,0.0,0.25,0.0,3.88,5.38,5.25,4.75,5.25,4.75,1.38,3.88,1.5,4.75,1.0,1.12,0.0,3.38,4.25,5.12,5.0,0.88,4.75,0.5
11-1021.00,General and Operations Managers,0.3846153846153846,4,3712.9,4.4,308.7,62.4593716143012,False,0.9869989165763814,0.676056338028169,0.8315276273022751,5,1,0.2,True,Nicht hoch GPT-exponiert,0.88,2.0,3.25,0.12,4.12,1.62,0.0,0.12,0.38,0.25,2.75,0.5,2.5,3.38,0.0,0.62,0.38,1.5,3.5,3.62,0.5,3.12,2.25,0.5,3.38,0.12,3.0,4.12,4.12,3.5,2.25,0.25,4.12,0.0,0.62,0.0,2.88,0.25,0.62,3.62,3.5,2.25,0.0,0.88,0.88,2.88,1.88,1.75,2.75,0.88,4.0,4.0,2.38,2.05,1.74,1.32,1.84,2.65,1.22,0.12,2.22,1.6,2.51,1.44,2.93,1.39,2.19,2.28,2.14,0.94,1.97,1.99,1.64,4.63,4.86,4.81,4.24,3.2,2.42,4.08,3.88,4.0,0.0,0.0,0.0,3.25,3.88,3.38,3.25,4.0,3.62,1.75,2.38,2.12,3.75,0.62,2.12,0.0,3.12,4.0,3.12,3.25,0.62,3.88,1.0
11-2011.00,Advertising and Promotions Managers,0.5465116279069767,4,27.0,-2.2,2.1,86.6738894907909,True,0.27410617551462624,0.18580715059588299,0.2299566630552546,5,0,0.0,True,Hoch GPT-exponiert mit begrenzten Wechseloptionen,0.5,1.25,3.88,0.12,4.5,1.0,0.0,0.0,0.0,0.0,3.12,1.12,3.12,4.12,0.0,0.0,0.0,1.25,3.88,3.75,0.38,3.12,2.38,0.0,4.12,0.0,3.12,4.38,4.75,3.88,2.75,0.0,4.0,0.0,0.0,0.0,2.75,0.0,0.0,3.88,4.0,2.75,0.0,0.0,0.0,2.12,0.88,2.75,3.12,0.75,4.0,4.0,2.31,2.13,1.86,-0.44,1.84,2.22,0.95,-0.73,1.96,2.48,1.45,1.44,2.52,1.63,1.77,2.24,1.37,0.57,2.45,1.8,1.72,4.68,4.87,4.04,4.3,2.82,2.5,4.4,3.88,4.12,0.0,0.12,0.0,3.0,4.0,3.62,2.62,3.88,3.75,0.0,3.12,0.62,3.88,0.75,1.0,0.0,3.25,4.0,3.12,3.75,0.75,3.88,0.0
11-2021.00,Marketing Managers,0.578125,4,407.0,6.6,34.3,89.81581798483207,True,0.8461538461538461,0.8331527627302275,0.8396533044420369,5,1,0.2,True,Hoch GPT-exponiert mit begrenzten Wechseloptionen,0.12,1.62,3.62,0.0,4.38,0.75,0.0,0.25,0.0,0.0,3.25,1.25,3.0,4.25,0.0,0.0,0.0,1.5,3.88,3.5,0.0,3.62,3.0,0.0,3.75,0.0,3.5,4.38,4.12,4.0,2.88,0.0,3.88,0.0,0.0,0.0,2.88,0.0,0.0,3.88,3.88,3.0,0.0,0.0,0.0,2.62,0.88,2.88,3.0,0.75,4.12,4.12,2.38,2.3,1.62,0.32,1.5,2.14,1.05,-0.5,2.03,2.48,1.73,1.97,2.4,1.46,1.87,2.2,1.43,0.62,2.2,1.8,1.72,4.61,4.76,4.42,3.81,2.89,2.73,4.21,3.88,3.75,0.0,0.0,0.0,3.5,4.0,3.75,2.75,3.88,3.88,0.0,3.62,1.25,4.38,1.25,1.38,0.0,3.25,4.0,3.75,3.75,0.88,3.75,0.0
11-2022.00,Sales Managers,0.4833333333333333,4,619.5,4.7,49.0,76.92307692307693,False,0.8791982665222102,0.7112676056338029,0.7952329360780066,5,1,0.2,True,Nicht hoch GPT-exponiert,0.12,1.62,3.62,0.38,4.0,0.5,0.0,0.0,0.0,0.0,2.75,0.5,2.88,3.88,0.0,0.0,0.0,1.0,4.0,3.0,0.38,3.75,3.0,0.25,3.38,0.0,3.62,4.38,4.0,3.88,2.25,0.0,3.88,0.0,0.0,0.0,2.75,0.0,0.62,4.0,4.12,3.0,0.0,0.0,0.0,2.12,1.25,1.62,2.5,0.62,4.0,4.0,2.45,2.02,1.67,0.24,1.77,2.47,1.35,-0.54,2.07,1.47,2.06,1.17,2.71,1.71,2.46,2.4,1.91,0.94,2.54,1.93,1.51,4.86,4.65,4.24,3.38,3.3,1.52,3.9,3.88,4.0,0.0,0.0,0.0,3.88,4.0,3.62,3.12,4.0,4.0,0.75,2.62,1.5,4.0,0.75,1.0,0.0,3.88,4.0,3.88,3.88,0.5,4.0,0.0
11-2033.00,Fundraising Managers,0.5,4,45.7,4.2,3.6,79.68580715059588,True,0.38461538461538464,0.6505958829902492,0.5176056338028169,5,0,0.0,True,Hoch GPT-exponiert mit begrenzten Wechseloptionen,0.0,2.0,3.12,0.12,4.12,0.0,0.0,0.75,0.0,0.0,3.0,0.12,2.25,4.0,0.0,0.0,0.0,1.38,3.25,3.25,0.12,3.25,2.62,0.0,3.88,0.0,3.12,4.12,4.25,3.88,2.12,0.0,3.62,0.0,0.0,0.0,2.38,0.38,0.25,3.88,3.75,2.25,0.0,0.0,0.0,2.38,1.62,2.0,2.0,1.25,4.12,4.38,2.91,1.79,1.76,0.06,2.3,2.47,1.86,-0.67,2.07,1.47,2.51,1.44,2.37,2.1,2.12,1.57,1.91,1.9,2.81,0.72,1.51,4.96,4.84,4.38,4.37,2.63,2.67,3.97,3.75,3.75,0.0,0.0,0.0,2.38,3.88,3.62,2.38,3.0,3.62,0.25,1.88,1.0,3.5,1.0,0.38,0.0,3.5,4.12,2.75,3.25,0.88,3.38,0.0
11-3012.00,Administrative Services Managers,0.5,3,271.2,4.6,23.2,79.68580715059588,True,0.776273022751896,0.7053087757313109,0.7407908992416035,5,2,0.4,True,Hoch GPT-exponiert mit guten Wechseloptionen,2.0,2.25,3.12,1.75,3.88,1.62,0.0,0.75,0.75,0.75,2.75,2.12,2.38,3.12,0.62,0.62,0.62,2.12,3.38,3.12,1.62,2.5,2.62,1.0,3.62,0.62,2.75,4.0,4.0,3.12,2.38,0.62,3.75,0.88,0.88,0.62,3.0,0.75,0.5,3.5,3.62,2.62,0.0,0.5,1.0,2.88,1.25,2.0,2.75,0.38,4.0,4.0,1.77,1.44,1.94,1.69,1.84,2.65,1.02,0.58,1.66,1.17,1.18,0.89,1.95,0.52,1.07,1.47,1.7,0.94,1.47,1.29,0.56,4.5,4.9,4.12,4.15,2.8,2.76,3.7,3.12,3.62,0.0,0.25,0.0,3.25,3.12,2.88,2.88,3.75,3.25,1.0,2.5,2.25,3.12,0.62,2.12,0.0,3.25,3.75,3.12,3.12,0.75,4.0,1.25
11-3013.00,Facilities Managers,0.2727272727272727,3,151.4,3.8,13.2,45.61213434452871,False,0.6635969664138678,0.6115926327193932,0.6375947995666305,5,1,0.2,True,Nicht hoch GPT-exponiert,2.5,2.5,3.25,2.5,3.88,2.12,0.25,1.5,1.25,2.25,3.0,2.38,3.25,3.12,1.25,1.5,1.38,2.0,3.75,3.62,2.38,2.62,2.75,2.0,3.5,1.25,2.62,3.88,3.88,3.0,2.75,1.88,3.75,1.5,2.12,2.25,2.75,1.12,2.5,3.62,3.62,2.5,0.25,1.88,1.75,2.75,2.5,2.38,2.75,2.12,4.0,3.88,1.77,1.79,2.14,2.14,1.63,2.65,0.64,0.56,1.86,1.07,1.82,1.02,2.43,0.66,1.7,1.73,1.7,0.84,1.18,1.76,1.22,4.72,4.81,4.28,4.09,3.55,2.44,3.9,3.38,3.75,2.25,1.88,0.12,3.25,3.38,3.25,3.0,3.62,3.5,2.25,1.38,2.5,3.38,1.12,2.88,1.88,2.88,3.62,3.12,3.25,0.88,3.75,2.25
11-3013.01,Security Managers,0.5357142857142857,4,151.4,3.8,13.2,85.42795232936078,True,0.6635969664138678,0.6115926327193932,0.6375947995666305,5,3,0.6,True,Hoch GPT-exponiert mit guten Wechseloptionen,2.25,2.88,3.5,1.75,4.0,2.0,0.0,1.75,1.62,2.12,3.62,1.88,3.62,4.0,1.62,1.62,1.38,2.5,3.88,3.75,1.75,2.88,2.88,1.75,3.62,2.0,2.75,4.0,4.12,3.62,2.88,1.62,4.75,0.88,1.88,2.12,3.5,1.88,1.62,3.62,4.0,3.5,1.25,1.5,1.88,3.25,2.38,2.62,3.0,1.38,4.12,4.12,2.01,1.86,2.57,3.0,1.63,2.93,0.54,0.15,1.96,0.77,2.93,1.61,2.49,0.59,2.01,1.9,2.42,1.09,0.97,2.21,1.49,4.5,4.61,4.25,4.05,3.37,2.58,3.8,4.0,4.12,0.88,1.5,0.0,3.12,3.75,3.62,3.12,3.75,3.12,2.12,2.0,1.75,3.5,0.88,2.38,1.0,3.25,3.75,3.12,3.25,0.75,3.75,1.5
11-3021.00,Computer and Information Systems Managers,0.5606060606060607,4,667.1,15.2,55.6,87.64897074756229,True,0.8938244853737811,0.9653304442036836,0.9295774647887324,5,3,0.6,True,Hoch GPT-exponiert mit guten Wechseloptionen,2.0,1.75,3.12,2.0,4.0,1.12,0.0,0.5,0.0,0.0,2.88,2.0,3.0,3.75,0.25,0.0,0.0,1.5,4.0,4.0,2.0,3.0,2.62,0.38,3.75,0.0,3.12,4.5,4.38,3.5,2.75,0.0,4.0,0.25,0.25,0.25,2.88,0.0,0.12,3.25,3.5,2.75,0.0,0.0,0.0,2.12,1.12,2.38,3.0,1.38,4.38,4.12,2.24,2.21,2.37,1.82,1.92,2.65,0.82,0.5,2.03,2.33,2.36,2.28,2.43,0.66,1.77,1.73,1.7,0.96,1.65,1.8,1.72,4.58,4.63,4.42,4.04,2.63,3.61,3.37,3.88,3.88,0.62,2.0,0.0,3.88,3.75,3.38,3.12,3.75,3.25,1.62,3.38,2.88,3.5,2.62,3.0,0.75,3.12,3.75,3.5,3.88,2.0,3.75,2.5
