feature,importance
context_Physical Proximity,0.0650144949732224
context_Spend Time Making Repetitive Motions,0.062252395315899746
context_Face-to-Face Discussions with Individuals and Within Teams,0.061784990915005514
context_Importance of Being Exact or Accurate,0.058725673117815465
context_Freedom to Make Decisions,0.0571044901207353
context_Contact With Others,0.055747959994534885
style_Innovation,0.055697350284325375
context_Time Pressure,0.054428851675741435
style_Initiative,0.053255957547771196
ability_Oral Expression,0.04931047269240712
transferable_Systems Analysis,0.04872388076277608
ability_Originality,0.04821344910322484
transferable_Systems Evaluation,0.0481122571263689
style_Social Orientation,0.04403407382401115
transferable_Coordination,0.040657058071929014
transferable_Complex Problem Solving,0.04039196458562375
ability_Problem Sensitivity,0.035898904469875564
ability_Deductive Reasoning,0.034503430402842615
ability_Inductive Reasoning,0.02967857893028524
transferable_Judgment and Decision Making,0.02899847460930224
ability_Manual Dexterity,0.02746529147630225
